Timestamp,How often do you visit a petrol pump?,What type of vehicle do you usually refuel? ,"During your last visit, how long did you wait at the petrol pump? ",What problems do you commonly face at petrol pumps? ,How confident are you that you receive the correct fuel quantity? ,Which payment method do you mostly prefer at petrol pumps? ,Are you aware that IndianOil has an official mobile application? ,"If you don’t use the IndianOil app, what is the main reason? ",Which features would you like in a petrol pump mobile app? ,Would you use an IndianOil app if it reduced waiting time and increased transparency? ,Fuel price & quantity transparency,Nearest petrol pump navigation,Live queue/waiting time information,Loyalty points/rewards,Digital payment with receipt history,Complaint & feedback system,Advance slot booking during peak hours,Fuel price & quantity transparency,Nearest petrol pump navigation,Live queue/waiting time information,Loyalty points/rewards,Digital payment with receipt history,Complaint & feedback system,Advance slot booking during peak hours
2026-01-25 23:17:50-05:30,Once a week,Two-wheeler,Less Than 5 Minutes,Fear of fuel quantity or quality fraud,4.0,UPI,"Yes, but I don’t use it",I already have my own payment method,Fuel price & quantity transparency,Definitely Yes,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2026-01-25 23:31:29-05:30,Rarely,Multiple,Less Than 5 Minutes,Fear of fuel quantity or quality fraud,3.0,Combination (Depends on situation),"No, I wasn’t aware",Didn’t know about it,Complaint & feedback system,Maybe,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2026-01-25 23:37:46-05:30,2-3 times a week,Two-wheeler,10-15 Minutes,Long waiting queues,4.0,UPI,"No, I wasn’t aware",Didn’t know about it,Advance slot booking during peak hours,Definitely Yes,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2026-01-25 23:41:14-05:30,2-3 times a month,Two-wheeler,Less Than 5 Minutes,Fear of fuel quantity or quality fraud,1.0,UPI,"No, I wasn’t aware",Didn’t know about it,Fuel price & quantity transparency,Definitely Yes,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2026-01-25 23:50:44-05:30,Once a week,Multiple,Less Than 5 Minutes,Fear of fuel quantity or quality fraud,4.0,Debit/Credit Card,"Yes, but I don’t use it",Didn’t know about it,Live queue/waiting time information,Maybe,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2026-01-25 23:54:54-05:30,2-3 times a week,Two-wheeler,5-10 Minutes,Fear of fuel quantity or quality fraud,2.0,Combination (Depends on situation),"No, I wasn’t aware",Didn’t know about it,Fuel price & quantity transparency,Definitely Yes,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2026-01-25 23:57:20-05:30,2-3 times a week,Two-wheeler,5-10 Minutes,Long waiting queues,4.0,Combination (Depends on situation),"No, I wasn’t aware",Didn’t know about it,Nearest petrol pump navigation,Definitely Yes,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2026-01-25 23:58:37-05:30,2-3 times a month,Four-wheeler,5-10 Minutes,Fear of fuel quantity or quality fraud,3.0,Debit/Credit Card,"No, I wasn’t aware",Didn’t know about it,Fuel price & quantity transparency,Definitely Yes,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2026-01-26 00:00:25-05:30,Once a week,Two-wheeler,5-10 Minutes,Long waiting queues,3.0,UPI,"No, I wasn’t aware",Didn’t know about it,Live queue/waiting time information,Definitely Yes,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2026-01-26 00:07:36-05:30,Once a week,Two-wheeler,Less Than 5 Minutes,Fear of fuel quantity or quality fraud,3.0,UPI,"Yes, but I don’t use it",App feels complicated,Advance slot booking during peak hours;Digital payment with receipt history;Fuel price & quantity transparency;Complaint & feedback system;Loyalty points/rewards,Definitely Yes,1,0,0,1,1,1,1,1,0,0,1,1,1,1
